rule_id,priority,source,source_type_pattern,technology_pattern,fuel_pattern,dataset,class,subclass
gem_bioenergy_agricultural,180,gem,^bioenergy$,,.*agricultural waste.*,generator,bioenergy,agricultural_biomass
gem_bioenergy_wood,190,gem,^bioenergy$,,.*wood.*biomass.*,generator,bioenergy,wood_biomass
gem_bioenergy_sewage,200,gem,^bioenergy$,,.*wastewater.*|.*sewage sludge.*,generator,bioenergy,sewage_sludge
gem_bioenergy_paper_mill,210,gem,^bioenergy$,,.*paper mill.*,generator,bioenergy,paper_mill_waste
gem_bioenergy_other,220,gem,^bioenergy$,,,generator,bioenergy,
gem_geothermal,230,gem,^geothermal$,,,generator,geothermal,
gem_nuclear_pwr,240,gem,^nuclear$,^pressurized water reactor$,.*,generator,nuclear,pressurized_water_reactor
gem_nuclear_fast_breeder,250,gem,^nuclear$,^fast breeder reactor$,.*,generator,nuclear,fast_breeder_reactor
gem_nuclear_high_temperature_gas,260,gem,^nuclear$,^high temperature gas reactor$,.*,generator,nuclear,high_temperature_gas_reactor
gem_hydro_run_of_river,270,gem,^hydropower$,^run-of-river$,.*,generator,hydropower,run_of_river
gem_hydro_reservoir,280,gem,^hydropower$,^conventional storage$,.*,generator,hydropower,reservoir
gem_hydro_mixed,290,gem,^hydropower$,^conventional and run-of-river$,.*,generator,hydropower,mixed_reservoir_run_of_river
gem_hydro_other,300,gem,^hydropower$,,,generator,hydropower,
gem_solar_thermal,310,gem,^utility-scale solar$,^Solar Thermal$,.*,generator,solar,solar_thermal
gem_solar_utility_pv,320,gem,^utility-scale solar$,^(?:PV|Assumed PV)$,.*,generator,solar,utility_scale_pv
gem_solar_other,330,gem,^utility-scale solar$,,,generator,solar,
gem_wind_onshore,340,gem,^wind$,^Onshore$,.*,generator,wind,onshore
gem_wind_offshore_fixed,350,gem,^wind$,^Offshore hard mount$,.*,generator,wind,offshore_fixed
gem_wind_offshore_floating,360,gem,^wind$,^Offshore floating$,.*,generator,wind,offshore_floating
gem_wind_offshore_unspecified,370,gem,^wind$,^Offshore mount unknown$,.*,generator,wind,offshore_unspecified
gem_wind_other,380,gem,^wind$,,,generator,wind,
gem_generator_fallback,390,gem,.*,.*,.*,generator,other,
doe_battery_lithium_ion,10,doe,,^Lithium-ion battery$,,storage,battery_storage,lithium_ion
doe_battery_flow,20,doe,,^Flow battery$,,storage,battery_storage,flow_battery
doe_battery_sodium,30,doe,,^Sodium-based battery$,,storage,battery_storage,sodium_based
doe_pumped_hydro,40,doe,,^Pumped hydro storage$,,storage,pumped_storage,pumped_hydro
doe_compressed_air,50,doe,,^Compressed air energy storage$,,storage,compressed_air_storage,compressed_air
doe_thermal_sensible,60,doe,,^Sensible heat$,,storage,thermal_storage,sensible_heat
doe_thermal_other,70,doe,,^Heat thermal storage$,,storage,thermal_storage,other_thermal
doe_capacitor,80,doe,,^Electro-chemical capacitor$,,storage,capacitor_storage,electrochemical_capacitor
doe_storage_fallback,90,doe,,.*,,storage,other_storage,
pypsa_coal,10,pypsa_technology_costs,,^coal$,,generator,coal,
pypsa_lignite,20,pypsa_technology_costs,,^lignite$,,generator,coal,lignite
pypsa_ccgt,30,pypsa_technology_costs,,^CCGT$,,generator,gas,combined_cycle
pypsa_ocgt,40,pypsa_technology_costs,,^OCGT$,,generator,gas,gas_turbine
pypsa_gas,50,pypsa_technology_costs,,^gas$,,generator,gas,
pypsa_oil,60,pypsa_technology_costs,,^oil$,,generator,other,oil
pypsa_solid_biomass,70,pypsa_technology_costs,,^solid biomass$,,generator,bioenergy,
pypsa_biomass,75,pypsa_technology_costs,,^biomass$,,generator,bioenergy,
pypsa_biogas,80,pypsa_technology_costs,,^biogas$,,generator,bioenergy,biogas
pypsa_geothermal,90,pypsa_technology_costs,,^geothermal(?:_nrel)?$,,generator,geothermal,
pypsa_nuclear,100,pypsa_technology_costs,,^nuclear$,,generator,nuclear,
pypsa_hydro,110,pypsa_technology_costs,,^hydro$,,generator,hydropower,reservoir
pypsa_ror,120,pypsa_technology_costs,,^ror$,,generator,hydropower,run_of_river
pypsa_phs,130,pypsa_technology_costs,,^PHS$,,storage,pumped_storage,pumped_hydro
pypsa_solar_utility,140,pypsa_technology_costs,,^solar-utility$,,generator,solar,utility_scale_pv
pypsa_solar_thermal,150,pypsa_technology_costs,,^solar_thermal_nrel$,,generator,solar,solar_thermal
pypsa_onwind,160,pypsa_technology_costs,,^onwind$,,generator,wind,onshore
pypsa_offwind,170,pypsa_technology_costs,,^offwind$,,generator,wind,offshore_fixed
pypsa_battery_inverter,180,pypsa_technology_costs,,^battery inverter$,,storage,battery_storage,
pypsa_battery_storage,190,pypsa_technology_costs,,^battery storage$,,storage,battery_storage,
pypsa_compressed_air_bicharger,200,pypsa_technology_costs,,^compressed-air-adiabatic-bicharger$,,storage,compressed_air_storage,compressed_air
pypsa_compressed_air_store,210,pypsa_technology_costs,,^compressed-air-adiabatic-store$,,storage,compressed_air_storage,compressed_air
pypsa_hvac_overhead,220,pypsa_technology_costs,,^HVAC overhead$,,network,branch,ac_overhead_line
pypsa_hvac_submarine,230,pypsa_technology_costs,,^HVAC submarine$,,network,branch,ac_cable
pypsa_hvac_underground,240,pypsa_technology_costs,,^HVAC underground$,,network,branch,ac_cable
pypsa_hvdc_overhead,250,pypsa_technology_costs,,^HVDC overhead$,,network,branch,dc_overhead_line
pypsa_hvdc_submarine,260,pypsa_technology_costs,,^HVDC submarine$,,network,branch,dc_cable
pypsa_hvdc_underground,270,pypsa_technology_costs,,^HVDC underground$,,network,branch,dc_cable
pypsa_hvdc_inverter_pair,280,pypsa_technology_costs,,^HVDC inverter pair$,,network,converter,ac_dc_converter
